Employee_ID,Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,Attrition_rate
EID_21309,1,32.0,4.0,0,Lebanon,Purchasing,Directive,4.0,2.0,26.0,0.0,3.0,5.0,type2,2.0,2.0,-1.8176,-0.4537,2.0,3.0,5.0,4.0,
EID_1864,0,64.0,3.0,0,Franklin,Sales,Analytical,36.0,3.0,40.0,0.0,2.0,4.0,type2,2.0,3.0,0.7516,-0.4537,2.0,3.0,6.0,2.0,0.1339
EID_17721,0,38.0,4.0,0,Clinton,IT,Directive,6.0,3.0,68.0,0.0,5.0,4.0,type3,4.0,5.0,0.7516,-0.4537,2.0,2.0,8.0,5.0,0.1272
EID_15871,1,27.0,1.0,0,Lebanon,R&D,Conceptual,5.0,2.0,64.0,0.0,3.0,6.0,type2,3.0,3.0,-1.8176,0.7075,1.9024978945766364,1.0,5.0,3.0,0.1508
EID_18066,0,24.0,2.0,1,Washington,Sales,Directive,5.0,1.0,74.0,1.0,2.0,10.0,type2,2.0,3.0,0.7516,1.8688,2.0,3.0,8.0,3.0,0.3177
EID_9177,1,60.0,1.0,0,Washington,IT,Directive,23.0,4.0,60.0,1.0,3.0,5.0,type3,4.0,3.0,-0.9612,0.7075,2.0,3.0,8.0,3.0,0.1177
EID_22989,1,37.0,3.0,1,Lebanon,IT,Directive,9.0,1.0,62.0,1.0,4.0,6.0,type3,4.0,3.0,-0.9612,0.7075,1.901340400656436,2.0,6.0,3.0,0.1994
EID_1815,1,55.0,3.0,0,Springfield,IT,Analytical,26.0,2.0,27.0,1.0,3.0,8.0,type3,1.0,4.0,-0.1048,-0.4537,2.0,3.0,7.0,3.0,
EID_19584,1,31.0,2.0,1,Franklin,IT,Analytical,2.0,2.0,30.0,2.0,3.0,2.0,type3,1.0,5.0,-0.9612,-0.4537,2.0,1.0,7.0,2.0,0.0113
EID_23137,0,60.0,2.0,0,Springfield,Logistics,Analytical,34.0,3.0,34.0,1.0,1.0,7.0,type4,4.0,3.0,0.031840385093379664,-0.4537,2.0,4.0,5.0,3.0,
EID_20357,1,42.0,3.0,0,Clinton,Sales,Directive,18.0,2.0,60.0,1.0,3.0,6.0,type2,3.0,3.0,-0.9612,0.7075,1.0,4.0,8.0,3.0,0.0874
EID_5733,1,63.0,4.0,0,Springfield,IT,Directive,24.0,2.0,54.0,0.0,3.0,4.0,type2,5.0,4.0,0.010625871439702218,-0.4537,2.0,2.0,7.0,4.0,0.1893
EID_18566,1,38.0,1.0,1,Washington,R&D,Conceptual,4.0,2.0,45.0,0.0,5.0,8.0,type3,4.0,3.0,0.7516,-1.615,3.0,4.0,6.0,3.0,0.0986
EID_24240,0,28.0,3.0,1,Lebanon,Quality,Conceptual,5.0,4.0,34.0,1.0,4.0,10.0,type2,4.0,1.0,0.7516,0.7075,1.0,3.0,6.0,1.0,0.2816
EID_8888,1,39.0,3.0,1,Franklin,Sales,Directive,15.0,3.0,48.0,2.0,4.0,8.0,type2,3.0,2.0,0.010714069101066828,-0.4537,1.0,2.0,7.0,4.0,
EID_9897,0,37.0,3.0,0,Lebanon,Purchasing,Directive,11.0,4.0,57.0,1.0,5.0,5.0,type0,1.0,3.0,-1.8176,0.7075,2.0,2.0,7.0,3.0,
EID_6400,0,53.0,4.0,0,Lebanon,Logistics,Behavioral,31.0,3.0,20.0,1.0,2.0,1.0,type2,2.0,4.0,-0.9612,-0.4537,1.8804959237979275,5.0,6.0,3.0,0.2303
EID_2043,0,55.0,4.0,1,Washington,IT,Analytical,20.0,2.0,35.0,1.0,3.0,10.0,type3,3.0,3.0,-1.8176,-1.615,2.0,3.0,6.0,3.0,
EID_16299,1,26.0,3.0,0,Franklin,Sales,Behavioral,2.0,1.0,30.0,1.0,3.0,9.0,type2,1.0,3.0,-0.9612,-1.615,3.0,1.0,8.0,3.0,0.0592
EID_23124,1,47.0,3.0,0,Lebanon,Operarions,Directive,14.0,2.0,64.0,1.0,1.0,8.0,type2,2.0,3.0,0.7516,-0.4537,2.0,2.0,5.0,4.0,
EID_2476,0,57.0,2.0,1,Franklin,IT,Behavioral,28.0,2.0,28.0,1.0,4.0,6.0,type2,3.0,3.0,-1.8176,-0.4537,2.0,2.0,7.0,3.0,0.0899
EID_7876,1,65.0,2.0,0,Lebanon,R&D,Conceptual,37.0,2.0,51.0,1.0,3.0,8.0,type3,2.0,4.0,0.7516,0.7075,1.0,3.0,7.0,3.0,
EID_9253,1,59.0,1.0,0,Springfield,Human Resource Management,Behavioral,29.0,2.0,70.0,1.0,2.0,6.0,type2,4.0,1.0,-0.1048,1.8688,1.9049131743576118,4.0,7.0,3.0,0.2221
EID_25090,1,52.0,2.0,0,Lebanon,IT,Conceptual,22.0,1.0,52.0,2.0,3.0,10.0,type2,3.0,3.0,0.7516,-0.4537,2.0,3.0,6.0,1.0,0.1946
EID_22059,1,54.0,4.0,0,Springfield,R&D,Behavioral,16.0,2.0,43.0,0.0,3.0,5.0,type3,1.0,2.0,-0.1048,-0.4537,1.0,2.0,8.0,3.0,
EID_14096,1,34.0,3.0,1,Washington,Operarions,Conceptual,5.0,4.0,42.0,1.0,2.0,8.0,type2,1.0,3.0,-0.9612,0.7075,2.0,5.0,7.0,3.0,
EID_6446,1,36.0,4.0,1,Springfield,Production,Analytical,20.0,3.0,46.0,1.0,4.0,9.0,type2,3.0,3.0,0.7516,0.7075,2.0,3.0,8.0,5.0,0.0139
EID_4720,0,63.0,5.0,0,Franklin,Sales,Analytical,25.0,1.0,69.0,0.0,2.0,5.0,type2,3.0,4.0,-0.1048,-0.4537,1.9045632490293043,3.0,8.0,5.0,0.0471
EID_5473,1,39.0,4.0,1,Lebanon,Sales,Behavioral,17.0,1.0,37.0,1.0,4.0,6.0,type3,3.0,3.0,0.7516,0.7075,2.0,2.0,8.0,5.0,0.0569
EID_1875,1,55.0,4.0,0,Springfield,IT,Analytical,19.0,4.0,59.0,0.0,1.0,4.0,type2,1.0,2.0,-1.8176,1.8688,2.0,3.0,9.0,2.0,0.1721
EID_21431,1,26.0,1.0,1,Franklin,Logistics,Analytical,3.0,1.0,54.0,1.0,2.0,6.0,type2,1.0,4.0,-0.1048,-1.615,2.0,3.0,6.0,3.0,0.0896
EID_24266,0,28.0,5.0,0,Franklin,IT,Behavioral,5.0,3.0,64.0,1.0,3.0,6.0,type3,1.0,3.0,0.7516,-0.4537,1.0,4.0,8.0,3.0,0.0738
EID_9549,0,58.0,4.0,1,Franklin,Operarions,Directive,20.0,3.0,33.0,2.0,2.0,8.0,type2,4.0,5.0,0.7516,-0.4537,3.0,4.0,8.0,3.0,
EID_4587,0,64.0,3.0,0,Franklin,IT,Behavioral,35.0,1.0,27.0,0.0,2.0,4.0,type3,2.0,3.0,0.7516,1.8688,1.8845608927276005,3.0,5.0,3.0,0.145
EID_8356,0,65.0,3.0,1,Franklin,IT,Directive,35.0,2.0,40.0,2.0,1.0,5.0,type3,3.0,3.0,0.7516,0.7075,1.8903106360404585,4.0,8.0,4.0,0.1137
EID_6389,0,46.0,2.0,0,Washington,Accounting and Finance,Behavioral,20.0,3.0,54.0,0.0,2.0,8.0,type2,3.0,3.0,0.7516,1.8688,2.0,5.0,8.0,5.0,0.0304
EID_25955,1,32.0,3.0,0,Springfield,Marketing,Analytical,8.0,2.0,58.0,1.0,3.0,5.0,type2,1.0,3.0,-0.0010948090252113005,-0.4537,2.0,3.0,5.0,3.0,0.2947
EID_23816,1,30.0,3.0,0,Franklin,Operarions,Behavioral,6.0,4.0,64.0,1.0,3.0,8.0,type3,4.0,3.0,-0.9612,-0.4537,2.0,3.0,7.0,3.0,0.0402
EID_16664,0,25.0,4.0,0,Springfield,Sales,Conceptual,6.0,4.0,52.0,0.0,2.0,6.0,type3,1.0,4.0,-0.1048,0.7075,2.0,2.0,8.0,5.0,0.0482
EID_5980,1,54.0,3.0,1,Lebanon,Logistics,Analytical,28.0,2.0,49.0,0.0,2.0,6.0,type3,2.0,3.0,-1.8176,0.7075,1.0,2.0,7.0,3.0,0.1105
EID_8613,1,39.0,3.0,0,Springfield,R&D,Directive,11.0,2.0,57.0,1.0,3.0,4.0,type2,1.0,4.0,-0.1048,-0.4537,1.0,1.0,7.0,3.0,0.1638
EID_2161,1,54.0,4.0,1,Washington,Security,Analytical,31.0,3.0,72.0,1.0,2.0,6.0,type3,3.0,3.0,-0.9612,-2.7762,2.0,3.0,8.0,2.0,0.0377
EID_3809,1,59.0,1.0,1,Franklin,Operarions,Analytical,30.0,3.0,66.0,2.0,3.0,5.0,type2,3.0,2.0,0.7516,0.7075,2.0,3.0,7.0,5.0,0.1824
EID_2926,1,52.0,3.0,1,Clinton,Sales,Analytical,22.0,3.0,66.0,0.0,2.0,1.0,type2,2.0,4.0,-1.8176,0.7075,2.0,2.0,5.0,4.0,0.1261
EID_11403,0,33.0,1.0,1,Springfield,Operarions,Analytical,11.0,1.0,69.0,1.0,4.0,4.0,type3,2.0,1.0,-0.0075827368511161355,-0.4537,2.0,3.0,8.0,5.0,0.701
EID_3151,1,51.0,5.0,0,Springfield,Sales,Conceptual,23.0,4.0,41.0,1.0,4.0,8.0,type3,1.0,3.0,-0.1048,-0.4537,3.0,1.0,8.0,3.0,0.1817
EID_9579,0,58.0,4.0,1,Franklin,Operarions,Behavioral,34.0,2.0,39.0,1.0,2.0,9.0,type2,4.0,3.0,0.7516,0.7075,2.0,5.0,6.0,3.0,
EID_25048,0,60.0,5.0,1,Franklin,R&D,Behavioral,29.0,4.0,70.0,1.0,1.0,8.0,type2,3.0,3.0,0.7516,-0.4537,1.0,4.0,8.0,4.0,
EID_14817,0,32.0,5.0,0,Springfield,Operarions,Directive,4.0,3.0,22.0,1.0,3.0,7.0,type4,3.0,4.0,-1.8176,-0.4537,1.8809303089197515,2.0,6.0,5.0,
EID_17447,0,26.0,3.0,0,Lebanon,R&D,Directive,3.0,2.0,27.0,0.0,1.0,5.0,type3,1.0,2.0,0.7516,-1.615,2.0,4.0,7.0,2.0,0.1294
EID_21281,1,19.0,3.0,1,Washington,Production,Analytical,0.0,0.0,48.0,0.0,3.0,2.0,type3,3.0,3.0,-0.1048,-0.4537,2.0,1.0,7.0,3.0,0.0156
EID_10056,1,40.0,2.0,1,Springfield,Sales,Conceptual,16.0,1.0,26.0,1.0,5.0,7.0,type3,1.0,4.0,0.7516,0.7075,2.0,2.0,9.0,3.0,0.0409
EID_9031,0,59.0,1.0,0,Lebanon,Sales,Behavioral,20.0,4.0,27.0,0.0,3.0,9.0,type2,3.0,3.0,-1.8176,-0.4537,2.0,5.0,8.0,3.0,0.2686
EID_23242,1,22.0,2.0,0,Springfield,R&D,Directive,3.0,1.0,54.0,1.0,3.0,7.0,type3,1.0,3.0,-1.8176,-1.615,2.0,4.0,5.0,3.0,
EID_8860,1,58.0,1.0,1,Springfield,IT,Behavioral,29.0,2.0,28.0,1.0,2.0,5.0,type2,2.0,3.0,0.7516,-0.4537,2.0,2.0,8.0,1.0,0.5473
EID_8010,0,41.0,5.0,0,Lebanon,Sales,Behavioral,16.0,4.0,59.0,0.0,3.0,10.0,type0,2.0,4.0,0.004018211103280288,-0.4537,2.0,3.0,5.0,5.0,
EID_25398,1,60.0,3.0,0,Lebanon,R&D,Analytical,30.0,4.0,68.0,0.0,1.0,6.0,type3,1.0,2.0,-1.8176,0.7075,1.0,3.0,6.0,3.0,0.068
EID_1494,0,60.0,4.0,1,Springfield,Marketing,Analytical,30.0,4.0,53.0,0.0,2.0,8.0,type2,2.0,3.0,0.7516,-0.4537,2.0,3.0,6.0,3.0,
EID_17186,1,23.0,1.0,1,Franklin,Marketing,Analytical,4.0,2.0,30.0,0.0,3.0,8.0,type2,1.0,4.0,-1.8176,0.7075,2.0,3.0,7.0,3.0,0.1439
EID_12853,1,38.0,1.0,0,Franklin,IT,Conceptual,16.0,3.0,36.0,1.0,3.0,4.0,type1,1.0,3.0,-0.9612,1.8688,2.0,2.0,7.0,1.0,0.2165
EID_14987,0,32.0,3.0,0,Franklin,Sales,Directive,7.0,3.0,57.0,0.0,3.0,7.0,type4,2.0,5.0,-0.1048,1.8688,1.0,2.0,6.0,2.0,
EID_23173,0,19.0,3.0,0,Franklin,Purchasing,Conceptual,0.0,0.0,42.0,1.0,2.0,10.0,type2,2.0,4.0,-0.1048,-2.7762,2.0,2.0,5.0,2.0,0.1909
EID_4027,1,53.0,5.0,0,Lebanon,Human Resource Management,Behavioral,24.0,3.0,73.0,1.0,1.0,4.0,type2,3.0,1.0,0.7516,0.7075,3.0,1.0,8.0,2.0,0.0516
EID_2434,0,57.0,2.0,1,Lebanon,Sales,Conceptual,18.0,3.0,52.0,0.0,2.0,6.0,type3,1.0,4.0,0.7516,0.7075,2.0,3.0,6.0,4.0,0.6095
EID_12954,1,28.0,4.0,1,Springfield,Accounting and Finance,Directive,4.0,4.0,51.0,1.0,2.0,8.0,type3,2.0,3.0,-1.8176,0.7075,3.0,2.0,7.0,4.0,
EID_20328,1,54.0,1.0,0,Franklin,IT,Analytical,29.0,1.0,73.0,1.0,4.0,6.0,type2,3.0,4.0,0.7516,-0.4537,2.0,5.0,8.0,3.0,0.1856
EID_11826,1,36.0,1.0,0,Lebanon,Logistics,Analytical,13.0,3.0,33.0,0.0,4.0,7.0,type0,2.0,3.0,0.02106525284507403,0.7075,1.0,1.0,9.0,3.0,
EID_24619,1,19.0,1.0,0,Clinton,R&D,Analytical,0.0,0.0,29.0,1.0,5.0,6.0,type2,1.0,3.0,1.6081,0.7075,1.0,3.0,7.0,4.0,0.0902
EID_6090,1,45.0,3.0,1,Franklin,Logistics,Directive,19.0,3.0,63.0,0.0,3.0,7.0,type2,2.0,3.0,-0.9612,0.7075,2.0,3.0,8.0,4.0,
EID_8644,1,60.0,3.0,1,Springfield,IT,Directive,34.0,2.0,55.0,1.0,3.0,7.0,type2,4.0,3.0,-0.1048,1.8688,3.0,4.0,8.0,3.0,0.4993
EID_11102,1,33.0,3.0,0,Franklin,Accounting and Finance,Analytical,11.0,2.0,61.0,1.0,3.0,8.0,type3,4.0,4.0,-1.8176,-0.4537,3.0,5.0,8.0,3.0,0.1037
EID_22897,1,26.0,1.0,0,Clinton,Logistics,Directive,4.0,2.0,45.0,1.0,1.0,9.0,type3,4.0,3.0,-0.9612,0.7075,2.0,4.0,9.0,4.0,0.0228
EID_5203,1,51.0,4.0,0,Clinton,Human Resource Management,Analytical,27.0,1.0,25.0,0.0,3.0,4.0,type3,1.0,4.0,0.03296213547251992,-1.615,2.0,3.0,8.0,4.0,0.1761
EID_3727,1,50.0,3.0,0,Washington,Purchasing,Behavioral,20.0,1.0,50.0,0.0,1.0,8.0,type3,4.0,5.0,0.7516,-0.4537,1.0,4.0,8.0,5.0,0.1614
EID_18618,0,21.0,4.0,0,Lebanon,Human Resource Management,Analytical,2.0,2.0,39.0,1.0,1.0,8.0,type3,2.0,3.0,0.7516,1.8688,1.8899428599461956,3.0,9.0,3.0,0.1349
EID_13052,1,32.0,2.0,0,Springfield,Logistics,Analytical,10.0,1.0,50.0,0.0,2.0,6.0,type2,2.0,3.0,-1.8176,-0.4537,3.0,4.0,6.0,3.0,0.1376
EID_1148,1,57.0,3.0,0,Franklin,Marketing,Analytical,19.0,4.0,36.0,1.0,4.0,8.0,type2,2.0,4.0,-0.1048,0.7075,1.0,2.0,8.0,4.0,
EID_19019,1,22.0,3.0,0,Lebanon,IT,Behavioral,3.0,3.0,54.0,1.0,1.0,8.0,type2,2.0,3.0,-0.9612,0.7075,2.0,4.0,8.0,3.0,0.0946
EID_18683,1,23.0,3.0,0,Lebanon,Sales,Directive,4.0,4.0,23.0,1.0,4.0,6.0,type2,3.0,2.0,-0.9612,0.7075,2.0,2.0,8.0,3.0,0.2948
EID_23197,0,26.0,3.0,1,Lebanon,IT,Behavioral,2.0,2.0,28.0,1.0,2.0,9.0,type2,2.0,3.0,1.6081,-0.4537,1.8851069741571476,3.0,7.0,3.0,0.4271
EID_11286,0,33.0,3.0,1,Lebanon,Human Resource Management,Directive,7.0,3.0,26.0,0.0,4.0,6.0,type2,1.0,4.0,0.7516,1.8688,2.0,2.0,5.0,3.0,
EID_8582,1,43.0,1.0,0,Franklin,Sales,Analytical,14.0,3.0,40.0,1.0,1.0,6.0,type3,1.0,4.0,0.7516,-0.4537,2.0,4.0,9.0,4.0,
EID_18259,1,22.0,1.0,0,Lebanon,Operarions,Analytical,3.0,1.0,22.0,0.0,4.0,8.0,type2,1.0,3.0,-0.9612,-0.4537,2.0,3.0,8.0,2.0,
EID_14062,1,25.0,3.0,0,Lebanon,Sales,Directive,6.0,1.0,30.0,0.0,3.0,9.0,type3,3.0,3.0,-1.8176,-1.615,2.0,2.0,8.0,3.0,
EID_23834,0,47.0,3.0,1,Lebanon,IT,Conceptual,21.0,1.0,24.0,2.0,3.0,6.0,type2,4.0,2.0,-0.1048,-0.4537,2.0,1.0,7.0,3.0,0.1431
EID_4538,1,57.0,4.0,1,Lebanon,Human Resource Management,Behavioral,26.0,4.0,67.0,1.0,3.0,4.0,type3,3.0,3.0,-1.8176,0.7075,2.0,3.0,8.0,5.0,0.198
EID_23980,1,32.0,3.0,0,Lebanon,Operarions,Directive,3.0,3.0,62.0,1.0,2.0,1.0,type2,3.0,3.0,1.6081,-0.4537,3.0,2.0,8.0,3.0,0.0656
EID_5926,1,54.0,5.0,0,Franklin,R&D,Conceptual,25.0,4.0,52.0,0.0,3.0,3.0,type3,3.0,4.0,-1.8176,-0.4537,2.0,3.0,8.0,3.0,0.1507
EID_21167,0,25.0,2.0,0,Springfield,Sales,Behavioral,6.0,1.0,27.0,0.0,3.0,7.0,type0,1.0,5.0,0.7516,-2.7762,2.0,3.0,6.0,3.0,0.233
EID_21148,0,28.0,4.0,1,Springfield,Production,Conceptual,5.0,4.0,57.0,0.0,2.0,8.0,type2,1.0,3.0,-0.1048,-0.4537,2.0,3.0,8.0,5.0,0.2757
EID_17496,1,24.0,1.0,0,Clinton,Purchasing,Behavioral,5.0,1.0,74.0,1.0,5.0,6.0,type2,4.0,3.0,0.7516,0.7075,1.0,3.0,8.0,3.0,
EID_6269,0,48.0,4.0,0,Springfield,Operarions,Analytical,10.0,2.0,54.0,1.0,2.0,8.0,type2,2.0,4.0,-0.9612,0.7075,2.0,2.0,5.0,3.0,
EID_1336,0,61.0,4.0,1,Clinton,R&D,Directive,28.0,3.0,70.0,0.0,4.0,6.0,type2,2.0,3.0,0.7516,0.7075,2.0,3.0,8.0,4.0,0.0808
EID_11790,1,38.0,1.0,0,Springfield,R&D,Directive,6.0,1.0,23.0,0.0,1.0,5.0,type3,4.0,5.0,0.023168595769199107,0.7075,1.8832997835120762,2.0,7.0,3.0,0.1609
EID_7017,0,63.0,3.0,0,Franklin,IT,Analytical,39.0,3.0,59.0,1.0,5.0,6.0,type4,2.0,3.0,-0.9612,0.7075,2.0,4.0,5.0,2.0,
EID_14535,1,30.0,3.0,1,Franklin,R&D,Behavioral,8.0,3.0,58.0,1.0,3.0,6.0,type2,1.0,3.0,-0.1048,1.8688,1.8990444088121226,2.0,8.0,3.0,0.0059
EID_24014,0,31.0,4.0,0,Lebanon,IT,Analytical,2.0,2.0,34.0,1.0,2.0,6.0,type2,1.0,3.0,-0.1048,-0.4537,2.0,4.0,8.0,3.0,0.0525
EID_5907,0,45.0,2.0,0,Washington,R&D,Analytical,14.0,2.0,48.0,1.0,3.0,7.0,type0,2.0,3.0,0.7516,0.7075,2.0,1.0,8.0,3.0,
EID_12963,1,28.0,5.0,0,Franklin,Sales,Conceptual,4.0,1.0,42.0,1.0,4.0,7.0,type4,1.0,3.0,0.7516,1.8688,1.0,2.0,5.0,5.0,
EID_21778,0,28.0,4.0,0,Franklin,Sales,Behavioral,5.0,4.0,54.0,2.0,4.0,8.0,type2,1.0,3.0,-0.1048,-0.4537,2.0,3.0,7.0,2.0,0.0759
EID_19133,1,21.0,4.0,0,Springfield,Operarions,Analytical,2.0,2.0,71.0,0.0,3.0,3.0,type3,2.0,1.0,-1.8176,-0.4537,2.0,2.0,8.0,1.0,0.044
EID_6218,1,38.0,1.0,0,Springfield,R&D,Directive,10.0,2.0,54.0,0.0,2.0,5.0,type4,5.0,2.0,0.7516,-0.4537,3.0,3.0,6.0,3.0,
EID_5077,1,51.0,3.0,0,Washington,Sales,Analytical,25.0,4.0,20.0,1.0,4.0,5.0,type0,4.0,3.0,-0.9612,-0.4537,2.0,2.0,9.0,3.0,0.1673
EID_12700,0,38.0,4.0,0,Franklin,Logistics,Analytical,10.0,3.0,20.0,1.0,2.0,6.0,type4,4.0,3.0,0.7516,0.7075,3.0,2.0,8.0,2.0,0.738
EID_4630,0,63.0,3.0,0,Lebanon,IT,Conceptual,25.0,1.0,62.0,1.0,1.0,4.0,type2,3.0,4.0,-1.8176,0.7075,2.0,4.0,9.0,5.0,0.1044
EID_3302,1,60.0,3.0,0,Franklin,Operarions,Directive,22.0,3.0,28.0,0.0,3.0,8.0,type2,4.0,4.0,-1.8176,-0.4537,1.0,2.0,7.0,4.0,0.1719
EID_4186,1,65.0,4.0,0,Washington,Logistics,Conceptual,27.0,1.0,49.0,2.0,1.0,5.0,type2,1.0,3.0,0.7516,-1.615,2.0,2.0,6.0,3.0,
EID_20146,0,38.0,4.0,0,Franklin,IT,Directive,3.0,2.0,56.0,1.0,3.0,9.0,type2,2.0,3.0,-0.9612,0.7075,1.0,4.0,7.0,3.0,0.2939
EID_3395,1,50.0,3.0,0,Springfield,R&D,Behavioral,25.0,2.0,61.0,1.0,2.0,8.0,type3,1.0,4.0,0.7516,-0.4537,2.0,3.0,5.0,3.0,0.0702
EID_2985,1,56.0,3.0,0,Lebanon,Logistics,Directive,23.0,4.0,25.0,0.0,3.0,6.0,type2,2.0,3.0,0.7516,-0.4537,2.0,3.0,8.0,3.0,0.1652
EID_3236,1,60.0,2.0,1,Franklin,Sales,Directive,38.0,3.0,34.0,0.0,5.0,10.0,type2,1.0,3.0,-0.1048,-0.4537,2.0,4.0,6.0,3.0,0.0899
